assetType,guardName,guardAddress,description
4,LendingEnabledAssetGuard,0xd0392103419ADA46070D7ea49a3BCd8D2256f219,Lending Enabled Asset tokens
10,BalancerV2GaugeAssetGuard,0x08Dfe9B8017AB3fde66a6A43A154ccC6f07B107B,Balancer Staking Gauge Asset
0,ERC20Guard,0xa3072C67711cE0FCC222a8824fad345c725D62Ef,ERC20 tokens
6,ERC20Guard,0xa3072C67711cE0FCC222a8824fad345c725D62Ef,ERC20 tokens
20,RamsesLPAssetGuard,0x7628433e0FAcc77342161541dc0466e1e0C7C90D,Ramses LP + Gauge Positions
103,SynthetixV3AssetGuard,0xF9FeEAD56eE6Cb4564CA8A57328Ff4Fda64DD4F2,Synthetix V3 Position Asset
28,CompoundV3CometAssetGuard,0x81567c5E1A6D6683ecFBC54927150e7cc1Cf41C4,CompoundV3 Comet AssetGuard
7,UniswapV3AssetGuard,0xd735AfFe6BaccFa94461d97779d787EcD9f4120B,Uniswap V3 LP positions
29,RamsesCLAssetGuard,0x8440A3256576b70C890660555D490d1331f1b699,RamsesCL LP positions
8,AaveLendingPoolAssetGuard,0x496A97598c57E7d0F1c3FB964Fc3E445f49B5bEE,Aave V3 Lending Pool
30,EasySwapperV2UnrolledAssetsGuard,0x1d8986db4fA5355CA491FdC55539eA17da2216F6,EasySwapperV2 Unrolled Assets Guard
