contractAddress,guardName,guardAddress,description
0x80b9411977C4fF8D618f2aC3f29F1e2D623C4d34,EasySwapperGuard,0x60b8a1972f0f43809fEA643cFd4Dce86528a0b59,Dhedge EasySwapper - allows access to toros pools
0x251e51b25afa40f2b6b9f05aaf1bc7eaa0551771,BalancerV2GaugeContractGuard,0x72232EBf4D5D447AA39685b197d393004807b955,BalancerV2GaugeContractGuard
0x9232ee56ab3167e2d77e491fba82babf963ccace,BalancerV2GaugeContractGuard,0x72232EBf4D5D447AA39685b197d393004807b955,BalancerV2GaugeContractGuard
0xaaa87963efeb6f7e0a2711f397663105acb1805e,RamsesRouterContractGuard,0xA782433758D3C2520c60De9c0ba91Ab4b8318aA4,Ramses Router Guard
0xaaa1ee8dc1864ae49185c368e8c64dd780a50fb7,RamsesXRamContractGuard,0xf9839a9AeB0b882997E29D45c3D26766ED1EcCfD,Ramses XRam Guard
0x9765cDAeC6395B04737EdC22C5b3E7d85677328A,RamsesGaugeContractGuard,0x64608491f5A0082292867fC698254D25E0279286,RamsesGaugeContractGuard
0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,UniswapV3RouterGuard,0x45D14dE3BCF32dff5517703FE5636eB27dD294a1,Uniswap V3 Router guard
0x929EC64c34a17401F460460D4B9390518E5B473e,AaveIncentivesControllerV3Guard,0xD52d10651686E9E27160B7Ec85534f0Fb76173D9,Aave Incentives Controller V3 contract
0xdef1c0ded9bec7f1a1670819833240f027b25eff,ZeroExContractGuard,0x22f1836C5a024852f66EeC893E9a96518063300b,ZeroEx Exchange Proxy
0x88730d254A2f7e6AC8388c3198aFd694bA9f7fae,CompoundV3CometRewardsContractGuard,0x040A514dD5f3aB9FF9cE0f863cc9b7F4D4558641,CompoundV3 Comet Rewards ContractGuard
0x6f7D514bbD4aFf3BcD1140B7344b32f063dEe486,CompoundV3CometContractGuard,0xc24cdb9Ff88894652D1d676d125d0671167FC10d,CompoundV3CometContractGuard
0xC36442b4a4522E871399CD717aBDD847Ab11FE88,UniswapV3NonfungiblePositionGuard,0xFb47a975546E8704AD2588af907a973B3316e5A2,Uniswap V3 Nonfungible Position contract
0x111111125421ca6dc452d289314280a0f8842a65,OneInchV6Guard,0xF56CF3077D1d56077828d9645feBE613B0287020,OneInch V6 Router
0x9c4ec768c28520B50860ea7a15bd7213a9fF58bf,CompoundV3CometContractGuard,0xc24cdb9Ff88894652D1d676d125d0671167FC10d,CompoundV3CometContractGuard
0xAA277CB7914b7e5514946Da92cb9De332Ce610EF,RamsesNonfungiblePositionGuard,0xC970935FCa1cC1599937B5904bd300CAF19c8402,RamsesCL Nonfungible Position contract
0xffffffaEff0B96Ea8e4f94b2253f31abdD875847,SynthetixV3ContractGuard,0x0d8B9e30326E965Af5D93668Ea36eA1eDA354fac,Synthetix V3 Core
0xa65538A6B9A8442854dEcB6E3F85782C60757D60,SynthetixV3SpotMarketContractGuard,0x1241E671Ff22739f2ebaf50Aff38B8844861500a,Synthetix V3 Spot Market
0x794a61358D6845594F94dc1DB02A252b5b4814aD,AaveLendingPoolGuardV3L2Pool,0x41fc87D21Aad871EdC65E7AE512b105c8D57Ac74,Aave V3 Lending Pool contract
0xA5679C4272A056Bb83f039961fae7D99C48529F5,EasySwapperV2ContractGuard,0x9C702786652898c85569e8AD0bEf17F4DD010064,EasySwapperV2 - allows access to toros pools
