assetType,guardName,guardAddress,description
27,FlatMoneyPerpMarketAssetGuard,0x3Ee9f17c2450E170987EC0FC0dd54976C207e3FD,Flat Money Perp Market Asset Guard
104,SynthetixV3PerpsAssetGuard,0x8CF57e20E3CD422603C96E6ea98582Fa60C19C22,Synthetix V3 Perps Position Asset
103,SynthetixV3AssetGuard,0xD35513A77A61B9479851f73387079569F365acd0,Synthetix V3 Position Asset
30,EasySwapperV2UnrolledAssetsGuard,0x8aE987DbAC9dE602fA9C915E4E161A319bF8AE46,EasySwapperV2 Unrolled Assets Guard
21,FlatMoneyUNITAssetGuard,0xB54EB255d6F77d38F527317A2339a96bEd9a7F93,Flat Money UNIT Asset Guard
25,VelodromeV2LPAssetGuard,0x5005E1F30bfCfe55BEda58106FDf22Db3DDAa7e6,Velodrome V2 LP + Gauge Positions
26,VelodromeCLAssetGuard,0x2CDD076165C441B0696B94beBA300fD5759f9893,VelodromeCL LP positions
31,PancakeCLAssetGuard,0xb98A17E241Fc4677CBA7217A2Fe30Bb4A10F094E,PancakeSwap Concentrated Liquidity positions
34,FluidTokenAssetGuard,0x9134069fAa797304Da01903838551073F0B44c41,Fluid Token
28,CompoundV3CometAssetGuard,0x1fa1814fEADa03df792ab603c8a93D193f98C331,CompoundV3 Comet AssetGuard
8,AaveLendingPoolAssetGuard,0x9feD74c47186e63b235DB9Ef844DE2a83D42a831,Aave V3 Lending Pool
0,ERC20Guard,0xDA5Db345A4415a90F93D1c9065CE51a2B8B91549,ERC20 tokens
4,ERC20Guard,0xDA5Db345A4415a90F93D1c9065CE51a2B8B91549,ERC20 tokens
22,FlatMoneyCollateralAssetGuard,0x7b8E17d3f3331e82DF202Dc7a6a6012C94bDA989,Flat Money Collateral Asset Guard
200,RewardAssetGuard,0x20E125DA16D93De54D69189f6Aa89F0Ee8ecf799,Reward Asset Guard
999,ByPassAssetGuard,0x00bC9798a926ED2e9031C2870bb7550F9D80ADEE,ByPass Asset Guard
