assetType,guardName,guardAddress,description
0,ERC20Guard,0x295922d988800dC6DD1dE3C3083e7E6bda172ED7,ERC20 tokens
4,LendingEnabledAssetGuard,0xbD0663B0BBC79B8359Be0817DD156d61a15A51f6,Lending Enabled Asset tokens
7,UniswapV3AssetGuard,0x91322822c067a2a85cFf1f40FA85ea099a1e24bd,Uniswap V3 LP positions
1,ERC20Guard,0xF333Dcc032DD81dfC92495Acb8100BCf8b54385A,ERC20 tokens
14,LendingEnabledAssetGuard,0xEf4b78348eab4dfD776e1BFfe9C31Cbd76aD24d2,Lending Enabled Asset tokens
15,VelodromeLPAssetGuard,0x387cBE87EDD46FC5042042CE5c9683BF36EDa65e,Velodrome LP + Gauge Positions
101,FuturesMarketAssetGuard,0x0aeA690b8c68131264a727b0010ef3Eee498C516,Synthetix Futures Market Asset Guard
8,AaveLendingPoolAssetGuard,0x50f51c33755dD75F20EE281cf0EbF19B8cC063C3,Aave V3 Lending Pool
9,ArrakisLiquidityGaugeV4AssetGuard,0x7cEc5593370f8Af7805A6f54D4ffC1DC8AcAcD43,Arrakis Liquidity Gauge V4
100,LyraOptionMarketWrapperAssetGuard,0x8f4491ED76bE9680ec801CBc070fA12067B5071a,Lyra OptionMarketWrapper Asset
