contractAddress,guardName,guardAddress,description
0x8700dAec35aF8Ff88c16BdF0418774CB3D7599B4,SynthetixGuard,0xEFEFCa1f7C5ac491d6fE720E6D6725255290D621,Synthetix Guard
0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,UniswapV3RouterGuard,0xf2d2a22591E7c8fD6a7ec29a1E557e10e3bB2B9c,Uniswap V3 Router guard
0x1111111254760F7ab3F16433eea9304126DCd199,OneInchV4Guard,0x8711fDA4252113F0D883e878C6A9DbAD76Cf7D4C,OneInch V4 Router
0x929EC64c34a17401F460460D4B9390518E5B473e,AaveIncentivesControllerV3Guard,0x2fAC63DBE4BD4f3D118909193Ff2563Da027eB88,Aave Incentives Controller V3 contract
0xCfDfF4E171133D55dE2e45c66a0E144a135D93f2,LyraOptionERC721ContractGuard,0x6de4c78b94ABAB75532c8dA42473823be924841B,Lyra Option ERC721 Contract Guard
0xFbDcdeFD5CD7992aC6Fee832227B3cefDe46ed95,LyraOptionERC721ContractGuard,0x6de4c78b94ABAB75532c8dA42473823be924841B,Lyra Option ERC721 Contract Guard
0xCCE7819d65f348c64B7Beb205BA367b3fE33763B,LyraOptionMarketWrapperContractGuard,0xbA7522351a4AB86209444761Cd80AB74730888eC,Lyra OptionMarketWrapper Contract Guard
0xa132DAB612dB5cB9fC9Ac426A0Cc215A3423F9c9,VelodromeRouterGuard,0xB78ce931FfdB497888D49a4b3aA3283e714C9E6c,Velodrome Router Guard
0xE2CEc8aB811B648bA7B1691Ce08d5E800Dd0a60a,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0xc4fF55A961bC04b880e60219CCBBDD139c6451A4,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0xb03f52D2DB3e758DD49982Defd6AeEFEa9454e80,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0x101D5e5651D7f949154258C1C7516da1eC273476,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0xb3cAc293c3bF27F4f0232f66ACd2b79705b888d4,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0x0299d40E99F2a5a1390261f5A71d13C3932E214C,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0x6b8EDC43de878Fd5Cd5113C42747d32500Db3873,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0x099b3368eb5BBE6f67f14a791ECAeF8bC1628A7F,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0x2f733b00127449fcF8B5a195bC51Abb73B7F7A75,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0x1F36f95a02C744f2B3cD196b5e44E749c153D3B9,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0x6aF999D0Cb99773398Ddb265aDf0243fbf5125DF,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0x1C5472efDF8CE67259D6f44ef548c68703797fA2,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0x05eF41Da0B0c76b6E17Be79BdaacF66306CbeBB5,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0x9c12939390052919aF3155f41Bf4160Fd3666A6f,VelodromeRouterGuard,0x992EF3C97E9F79e3894392408b0Bd4f91CaA9612,Velodrome Router Guard
