contractAddress,guardName,guardAddress,description
0x1111111254760F7ab3F16433eea9304126DCd199,OneInchV4Guard,0x8711fDA4252113F0D883e878C6A9DbAD76Cf7D4C,OneInch V4 Router
0xCfDfF4E171133D55dE2e45c66a0E144a135D93f2,LyraOptionERC721ContractGuard,0x6de4c78b94ABAB75532c8dA42473823be924841B,Lyra Option ERC721 Contract Guard
0xFbDcdeFD5CD7992aC6Fee832227B3cefDe46ed95,LyraOptionERC721ContractGuard,0x6de4c78b94ABAB75532c8dA42473823be924841B,Lyra Option ERC721 Contract Guard
0xa132DAB612dB5cB9fC9Ac426A0Cc215A3423F9c9,VelodromeRouterGuard,0xB78ce931FfdB497888D49a4b3aA3283e714C9E6c,Velodrome Router Guard
0xb5ADF58391eFEc58A1497332fbC5233F93a28d65,LyraOptionERC721ContractGuard,0x6de4c78b94ABAB75532c8dA42473823be924841B,Lyra Option ERC721 Contract Guard
0xf8C62BD5f2fEf9E1a329c197F32E77AD6866B022,EasySwapperGuard,0x23a58349510C3E1aD1d9Cdd195C76E27D435CBdd,Dhedge EasySwapper - allows access to toros pools
0xf86048DFf23cF130107dfB4e6386f574231a5C65,SynthetixFuturesMarketContractGuard,0x4dbB0Bef7eD0f25effb28A342a7Ae3cD73C414D5,SynthetixFuturesMarketContractGuard
0x4434f56ddBdE28fab08C4AE71970a06B300F8881,SynthetixFuturesMarketContractGuard,0x4dbB0Bef7eD0f25effb28A342a7Ae3cD73C414D5,SynthetixFuturesMarketContractGuard
0xb147C69BEe211F57290a6cde9d1BAbfD0DCF3Ea3,SynthetixFuturesMarketContractGuard,0x4dbB0Bef7eD0f25effb28A342a7Ae3cD73C414D5,SynthetixFuturesMarketContractGuard
0x001b7876F567f0b3A639332Ed1e363839c6d85e2,SynthetixFuturesMarketContractGuard,0x4dbB0Bef7eD0f25effb28A342a7Ae3cD73C414D5,SynthetixFuturesMarketContractGuard
0xFe00395ec846240dc693e92AB2Dd720F94765Aa3,SynthetixFuturesMarketContractGuard,0x4dbB0Bef7eD0f25effb28A342a7Ae3cD73C414D5,SynthetixFuturesMarketContractGuard
0x4ff54624D5FB61C34c634c3314Ed3BfE4dBB665a,SynthetixFuturesMarketContractGuard,0x4dbB0Bef7eD0f25effb28A342a7Ae3cD73C414D5,SynthetixFuturesMarketContractGuard
0x4Aa0dabd22BC0894975324Bec293443c8538bD08,SynthetixFuturesMarketContractGuard,0x4dbB0Bef7eD0f25effb28A342a7Ae3cD73C414D5,SynthetixFuturesMarketContractGuard
0x9f231dBE53D460f359B2B8CC47574493caA5B7Bf,SynthetixFuturesMarketContractGuard,0x4dbB0Bef7eD0f25effb28A342a7Ae3cD73C414D5,SynthetixFuturesMarketContractGuard
0x10305C1854d6DB8A1060dF60bDF8A8B2981249Cf,SynthetixFuturesMarketContractGuard,0x4dbB0Bef7eD0f25effb28A342a7Ae3cD73C414D5,SynthetixFuturesMarketContractGuard
0xd325B17d5C9C3f2B6853A760afCF81945b0184d3,SynthetixFuturesMarketContractGuard,0x4dbB0Bef7eD0f25effb28A342a7Ae3cD73C414D5,SynthetixFuturesMarketContractGuard
0xad44873632840144fFC97b2D1de716f6E2cF0366,SynthetixFuturesMarketContractGuard,0x4dbB0Bef7eD0f25effb28A342a7Ae3cD73C414D5,SynthetixFuturesMarketContractGuard
0x1228c7D8BBc5bC53DB181bD7B1fcE765aa83bF8A,SynthetixFuturesMarketContractGuard,0x4dbB0Bef7eD0f25effb28A342a7Ae3cD73C414D5,SynthetixFuturesMarketContractGuard
0xbCB2D435045E16B059b2130b28BE70b5cA47bFE5,SynthetixFuturesMarketContractGuard,0x4dbB0Bef7eD0f25effb28A342a7Ae3cD73C414D5,SynthetixFuturesMarketContractGuard
0x9F1C2f0071Bc3b31447AEda9fA3A68d651eB4632,SynthetixFuturesMarketContractGuard,0x4dbB0Bef7eD0f25effb28A342a7Ae3cD73C414D5,SynthetixFuturesMarketContractGuard
0xcF853f7f8F78B2B801095b66F8ba9c5f04dB1640,SynthetixFuturesMarketContractGuard,0x4dbB0Bef7eD0f25effb28A342a7Ae3cD73C414D5,SynthetixFuturesMarketContractGuard
0x5Af0072617F7f2AEB0e314e2faD1DE0231Ba97cD,SynthetixFuturesMarketContractGuard,0x4dbB0Bef7eD0f25effb28A342a7Ae3cD73C414D5,SynthetixFuturesMarketContractGuard
0x3Ed04CEfF4c91872F19b1da35740C0Be9CA21558,SynthetixFuturesMarketContractGuard,0x4dbB0Bef7eD0f25effb28A342a7Ae3cD73C414D5,SynthetixFuturesMarketContractGuard
0x1d42a98848e022908069c2c545aE44Cc78509Bc8,LyraOptionMarketContractGuard,0x2Bd6B94Bb5cA5d63bE943342560322eFda4fe590,Lyra Option Market Contract Guard
0xc7f1A22c30aE981E6A74a0267CE6cBBF27D8ecD5,LyraOptionMarketContractGuard,0x2Bd6B94Bb5cA5d63bE943342560322eFda4fe590,Lyra Option Market Contract Guard
0x3D96418B63749DF7d6C31AD66ecBEe210B1456b4,LyraOptionMarketContractGuard,0x2Bd6B94Bb5cA5d63bE943342560322eFda4fe590,Lyra Option Market Contract Guard
