assetType,guardName,guardAddress,description
14,LendingEnabledAssetGuard,0xEf4b78348eab4dfD776e1BFfe9C31Cbd76aD24d2,Lending Enabled Asset tokens
15,VelodromeLPAssetGuard,0x387cBE87EDD46FC5042042CE5c9683BF36EDa65e,Velodrome LP + Gauge Positions
100,LyraOptionMarketWrapperAssetGuard,0x8f4491ED76bE9680ec801CBc070fA12067B5071a,Lyra OptionMarketWrapper Asset
16,StargateLPAssetGuard,0x18921F28c08DBf4f09a18191904fE4689A337463,Stargate LP Asset Guard
101,SynthetixFuturesMarketAssetGuard,0x11F8536f3a3c7bb16C3aC08FdEBf3A819ABE3105,Synthetix Futures Market Asset Guard
103,SynthetixV3AssetGuard,0x1F13fF8F5DBc661374F57d766d5FEa20Eef27a8f,Synthetix V3 Position Asset
999,ByPassAssetGuard,0x179F30518d2004e7D7697788E5cCfF4fe1c322eE,ByPass Asset Guard
7,UniswapV3AssetGuard,0xA0736773645C2AFcD844cF6807E0F0F2A80885E7,Uniswap V3 LP positions
30,EasySwapperV2UnrolledAssetsGuard,0x2b844c457e1699Cdc3c98C19BDBd0D14bf0a678d,EasySwapperV2 Unrolled Assets Guard
200,RewardAssetGuard,0x751C1F743ad723EC96fF548782A45353691E5a07,Reward Asset Guard
102,SynthetixPerpsV2MarketAssetGuard,0xC7B98aCa5879FC5DaB713F1642cc910097E88525,Synthetix PerpsV2 Market Asset Guard
28,CompoundV3CometAssetGuard,0x5d8F5A3cBB98E7C76Ab95F9324ae57768b1be8c5,CompoundV3 Comet AssetGuard
25,VelodromeV2LPAssetGuard,0x9E2704694B96FC79D9D933eB68Fc20DD6446079A,Velodrome V2 LP + Gauge Positions
26,VelodromeCLAssetGuard,0xBbe188a91Cae9FC2416573581C26bDB8Fd8e1b1d,VelodromeCL LP positions
9,ArrakisLiquidityGaugeV4AssetGuard,0x1d03AC30495ab48d94905d1098566B3F86ed172E,Arrakis Liquidity Gauge V4
36,FlatMoneyV2PerpMarketAssetGuard,0x7A1F0D2cb00217fAE30E878108a5Ec557200506A,Flat Money V2 Perp Market Asset Guard
35,FlatMoneyV2UNITAssetGuard,0x7F29E7106673709B709A8BaF89C099C1a39583Cd,Flat Money V2 UNIT Asset Guard
8,AaveLendingPoolAssetGuard,0xC4Ed603639Fa1BBeA7961CeD017b03F2875325CC,Aave V3 Lending Pool
0,ERC20Guard,0x7389aF54F1a4A4f8DB681Af6710Be3F35E3a9E74,ERC20 tokens
1,ERC20Guard,0x7389aF54F1a4A4f8DB681Af6710Be3F35E3a9E74,ERC20 tokens
4,ERC20Guard,0x7389aF54F1a4A4f8DB681Af6710Be3F35E3a9E74,ERC20 tokens
22,FlatMoneyCollateralAssetGuard,0xfEC31677334ebF3fa43274085D373785bdeF4553,Flat Money Collateral Asset Guard
