contractAddress,guardName,guardAddress,description
0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,UniswapV2RouterGuard,0x8130906D038ac7161f07cF76FC119Cc72764b65f,Sushi V2 router
0xa5E0829CaCEd8fFDD4De3c43696c57F7D7A678ff,UniswapV2RouterGuard,0x8130906D038ac7161f07cF76FC119Cc72764b65f,Quickswap V2 router
0x0769fd68dFb93167989C6f7254cd0D766Fb2841F,SushiMiniChefV2Guard,0xB80344Bc1EA92502dE950d88Bb1fc9A41b29BE77,Sushi rewards contract
0x4A73218eF2e820987c59F838906A82455F42D98b,QuickStakingRewardsGuard,0x66509140E08A58a1CC0eEF29C565FE9c68E3EFAF,Quick Staking Reward
0x357D51124f59836DeD84c8a1730D72B749d8BC23,AaveIncentivesControllerGuard,0xAF33891D6DD4e6fF6b1D676D77001B0F73197689,Aave Incentives Controller contract
0x11111112542D85B3EF69AE05771c2dCCff4fAa26,OneInchV3Guard,0x641B2F974068FDfC52Ff694848eC3d6102BA4b44,OneInch V3 Router
0x0F3e0c4218b7b0108a3643cFe9D3ec0d4F57c54e,BalancerMerkleOrchardGuard,0x75bE6311B6F649F4D8Be433c8AFFaf67d9CaD826,Balancer Merkle Orchard Guard
0xC3e6d2811f669094d94F7589CaEa69672D93408e,EasySwapperGuard,0xfB95299134E94466575c4Eff82037448be1AE4Ae,Dhedge EasySwapper - allows access to toros pools
0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,UniswapV3RouterGuard,0x144cB6CdE4C4a6df5c20e78BB68cf598Fb887265,Uniswap V3 Router guard
0x1111111254fb6c44bac0bed2854e76f90643097d,OneInchV4Guard,0x708Fb18D76Ca9E80792810758aCd81E60C6D987d,OneInch V4 Router
0x93080d2A69F933c777FB358DCF836c45419b687b,EasySwapperGuard,0x6752f1b62Fe2bB66D941882A8B2450eD8afA1978,Dhedge EasySwapper - allows access to toros pools
0x7963D8a857178758e5d2c4cddC18a9564dd13F3D,EasySwapperGuard,0xE9110349CB8e9dbC2151B13bee6a34b74189D612,Dhedge EasySwapper - allows access to toros pools
0xEdF8C3aD1186d6ecB8b8cd08230b9434768252A5,ArrakisLiquidityGaugeV4Address,0x6ABB2f1373c06b21655e90864433A3E0d5d8bdC1,Arrakis Liquidity Gauge V4
0x9941c03d31bc8b3aa26e363f7dd908725e1a21bb,ArrakisLiquidityGaugeV4Address,0x6ABB2f1373c06b21655e90864433A3E0d5d8bdC1,Arrakis Liquidity Gauge V4
0x33d1ad9cd88a509397cd924c2d7613c285602c20,ArrakisLiquidityGaugeV4Address,0x6ABB2f1373c06b21655e90864433A3E0d5d8bdC1,Arrakis Liquidity Gauge V4
0xfb5b8515b011b073defb5fa63b05a7190a5207b3,ArrakisLiquidityGaugeV4Address,0x6ABB2f1373c06b21655e90864433A3E0d5d8bdC1,Arrakis Liquidity Gauge V4
0x50be234a8405c32c15712850377deec768628bc9,ArrakisLiquidityGaugeV4Address,0x6ABB2f1373c06b21655e90864433A3E0d5d8bdC1,Arrakis Liquidity Gauge V4
0xdb01724cd5885d76438d2b54097c9dd8dbf443a1,ArrakisLiquidityGaugeV4Address,0x6ABB2f1373c06b21655e90864433A3E0d5d8bdC1,Arrakis Liquidity Gauge V4
0x5E65A272fb0d594c7447F05928011C4F7f53c808,ArrakisLiquidityGaugeV4Address,0x6ABB2f1373c06b21655e90864433A3E0d5d8bdC1,Arrakis Liquidity Gauge V4
0x56c5b00bdeb3cb8adf745650599f9adef3c40275,ArrakisLiquidityGaugeV4Address,0x6ABB2f1373c06b21655e90864433A3E0d5d8bdC1,Arrakis Liquidity Gauge V4
0xC7835Fe4E710157282bB705BF7fD8C207C7D069F,EasySwapperGuard,0x27F208794F3D908c2EDe7CC5D376c30e9885c837,Dhedge EasySwapper - allows access to toros pools
0xbc91a120cCD8F80b819EAF32F0996daC3Fa76a6C,ArrakisV1RouterStakingGuard,0x6c1803D33194234B30c222Bcda310f36219dfF69,Arrakis V1 Router Staking Guard
0x9e080df81d9Db50348ef40F630fAE74f5Aea1f68,EasySwapperGuard,0x85853E32fcE973c3aaaCDeE52e8Be0b2A8886469,Dhedge EasySwapper - allows access to toros pools
0x72843281394e68de5d55bcf7072bb9b2ebc24150,BalancerV2GaugeContractGuard,0x2583A4580F3014552197B47C542d8c5f88A8C772,BalancerV2GaugeContractGuard
0x9928340f9E1aaAd7dF1D95E27bd9A5c715202a56,BalancerV2GaugeContractGuard,0x2583A4580F3014552197B47C542d8c5f88A8C772,BalancerV2GaugeContractGuard
0x48534d027f8962692122dB440714fFE88Ab1fA85,BalancerV2GaugeContractGuard,0x2583A4580F3014552197B47C542d8c5f88A8C772,BalancerV2GaugeContractGuard
0xba46106a5fdb350372c17ba31bc0a6b71a148221,BalancerV2GaugeContractGuard,0x2583A4580F3014552197B47C542d8c5f88A8C772,BalancerV2GaugeContractGuard
0x0F09F70Ed59202c77aC667f574A5f79bC65CeA48,BalancerV2GaugeContractGuard,0x2583A4580F3014552197B47C542d8c5f88A8C772,BalancerV2GaugeContractGuard
0xC36442b4a4522E871399CD717aBDD847Ab11FE88,UniswapV3NonfungiblePositionGuard,0xaF0DaF487B31810Bd806aD8CC73076668b1a3cDe,Uniswap V3 Nonfungible Position contract
0x2aa6fb79efe19a3fce71c46ae48efc16372ed6dd,BalancerV2GaugeContractGuard,0x2583A4580F3014552197B47C542d8c5f88A8C772,BalancerV2GaugeContractGuard
0xBA12222222228d8Ba445958a75a0704d566BF2C8,BalancerV2Guard,0x24869f707dE0a82eB576B883Ad5015231F002862,Balancer V2 Guard
0xdffe97094394680362ec9706a759eb9366d804c2,BalancerV2GaugeContractGuard,0x2583A4580F3014552197B47C542d8c5f88A8C772,BalancerV2GaugeContractGuard
0x42B1DDcFa1c43E06F483BA0Dd1b9cC923043677f,EasySwapperGuard,0x217C256Cdb554D889DA96973CD86e31fFf35625D,Dhedge EasySwapper - allows access to toros pools
0x8dFf5E27EA6b7AC08EbFdf9eB090F32ee9a30fcf,AaveLendingPoolGuardV2,0x373AC828d05058D646b9106A3DCda89f2626149e,Aave V2 Lending Pool contract
0x794a61358D6845594F94dc1DB02A252b5b4814aD,AaveLendingPoolGuardV3L2Pool,0xc906D8f37f8833471f1bf317ff5cA623De7914f4,Aave V3 Lending Pool contract
0x1111111254eeb25477b68fb85ed929f73a960582,OneInchV5Guard,0xbf7903457441b6E4C8e3684C6D245B74CDb3211e,OneInch V5 Router
