ContractAddress,GuardName,GuardAddress,Description
0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,UniswapV2RouterGuard,0xef18E8271aA2B9657F17D3Fdefa9734aae9897ee,Sushi V2 router
0xa5E0829CaCEd8fFDD4De3c43696c57F7D7A678ff,UniswapV2RouterGuard,0xef18E8271aA2B9657F17D3Fdefa9734aae9897ee,Quickswap V2 router
0x0769fd68dFb93167989C6f7254cd0D766Fb2841F,SushiMiniChefV2Guard,0x340c299d9Bc1196933278886280de26907d231f1,Sushi rewards contract
0x357D51124f59836DeD84c8a1730D72B749d8BC23,AaveIncentivesControllerGuard,0xeE315011c5709360e5006835ECC033AebdD3F0da,Aave Incentives Controller contract
0x4A73218eF2e820987c59F838906A82455F42D98b,QuickStakingRewardsGuard,0x9DcfCf12E1D93A42C092008f70dC5C8Fd73C6460,Quick Staking Reward
0x11111112542D85B3EF69AE05771c2dCCff4fAa26,OneInchV3Guard,0xa389D040C0809b3069BA5b073469413152c2EBdF,OneInch V3 Router
0xBA12222222228d8Ba445958a75a0704d566BF2C8,BalancerV2Guard,0xe048300AF8359D0e8e8b27E1C931AF49ba1BA6eA,Balancer V2 Guard
0x1111111254fb6c44bac0bed2854e76f90643097d,OneInchV4Guard,0xaF4144f7202DF3E46aa7e245e299413260D42f03,OneInch V4 Router
0x0F3e0c4218b7b0108a3643cFe9D3ec0d4F57c54e,BalancerMerkleOrchardGuard,0xa71a1A922000BF91CACF835222C0E552A288A826,Balancer Merkle Orchard Guard
0xC3e6d2811f669094d94F7589CaEa69672D93408e,EasySwapperGuard,0xc7EfbD043CE45687d40baea35bCE775e31eF909E,Dhedge EasySwapper - allows access to toros pools
0xC36442b4a4522E871399CD717aBDD847Ab11FE88,UniswapV3NonfungiblePositionGuard,0x0e54D4Bb4C95a389Cdce6Cbe6e5E67b527142d1C,Uniswap V3 Nonfungible Position contract
0x8dFf5E27EA6b7AC08EbFdf9eB090F32ee9a30fcf,AaveLendingPoolGuard,0x6f0433989cab7e16986DB15117889F3F5026254f,Aave Lending Pool contract
0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,UniswapV3RouterGuard,0x96F1C45DAb737D5ae28Abb30E7aD5c66c8D8Dfc8,Uniswap V3 Router guard
