assetType,guardName,guardAddress,description
2,SushiLPAssetGuard,0xf62a78b250025c6ed4C870eeE0C852cB61485a5b,Sushi LP tokens
5,QuickLPAssetGuard,0x624484f6a600ab9b785E53b620fB4d641dcDecd6,Quick LP tokens
1,ERC20Guard,0x5eC7E3c7C802fBe6BBf2f02Ec4f4502ea9E94c41,ERC20 tokens
6,ERC20Guard,0x5eC7E3c7C802fBe6BBf2f02Ec4f4502ea9E94c41,ERC20 tokens
16,StargateLPAssetGuard,0xE3a2625e5DED7a5c406a772a814c388381041486,Stargate LP Asset Guard
7,UniswapV3AssetGuard,0xEc127Cf6A71ec8C0A66f07DF104fF58B7A47FDd5,Uniswap V3 LP positions
3,AaveLendingPoolAssetGuard,0x8a517255676A45F6dc58B49B905cb09518084154,Aave V2 Lending Pool
30,EasySwapperV2UnrolledAssetsGuard,0xDcA7Ee1Cf0B1aD24900F06A805322ca7e2e4A071,EasySwapperV2 Unrolled Assets Guard
999,ByPassAssetGuard,0x2B6737daFb942E2b70EA14C6C9B01D46eA7E1310,ByPass Asset Guard
9,ArrakisLiquidityGaugeV4AssetGuard,0xC6191Ed2db3c043505C2ED2e3FbFDFe1B9b2061F,Arrakis Liquidity Gauge V4
10,BalancerV2GaugeAssetGuard,0xD77d3BBD09e5E2af45610cEaE9091ea4C41814Bc,Balancer Staking Gauge Asset
8,AaveLendingPoolAssetGuard,0xF27f75275654223d064B745c311E5893b2e2791c,Aave V3 Lending Pool
0,ERC20Guard,0x2033271d6932A82E720F0dDEc7736a0495b4db12,ERC20 tokens
4,ERC20Guard,0x2033271d6932A82E720F0dDEc7736a0495b4db12,ERC20 tokens
