assetType,guardName,guardAddress,description
2,SushiLPAssetGuard,0xE4CF53e51f2F7d82a224aede3C36a8676cD28049,Sushi LP tokens
4,LendingEnabledAssetGuard,0x81d438E9baB6f7AAA9518B80E85D172062A4F57C,Lending Enabled Asset tokens
5,QuickLPAssetGuard,0x2c664B999F88812eA89C32e3F3f8408E3164153C,Quick LP tokens
0,ERC20Guard,0xBd651F4a743dCdaC0141a1BEBACb9626D700fe40,ERC20 tokens
1,ERC20Guard,0xBd651F4a743dCdaC0141a1BEBACb9626D700fe40,ERC20 tokens
6,ERC20Guard,0xBd651F4a743dCdaC0141a1BEBACb9626D700fe40,ERC20 tokens
10,BalancerV2GaugeAssetGuard,0x93071a924735880a871bA34e800f74b895B0B388,Balancer Staking Gauge Asset
9,ArrakisLiquidityGaugeV4AssetGuard,0x358F165232d5C7b68F6Eae1Ac3848bC042B77a59,Arrakis Liquidity Gauge V4
3,AaveLendingPoolAssetGuard,0xd7E2b0eBF2b04237612163B95Cf8CceE1a906DCe,Aave V2 Lending Pool
8,AaveLendingPoolAssetGuard,0x63f1BE815a25601D9999A4Fd88B2539308c38E38,Aave V3 Lending Pool
16,StargateLPAssetGuard,0xD000BdceE496bad6e06701DecF297324e687a47c,Stargate LP Asset Guard
7,UniswapV3AssetGuard,0xe0354b48EAe09405eCe07300A865FDB45c1341D1,Uniswap V3 LP positions
