contractAddress,guardName,guardAddress,description
0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,UniswapV2RouterGuard,0xef18E8271aA2B9657F17D3Fdefa9734aae9897ee,Sushi V2 router
0xa5E0829CaCEd8fFDD4De3c43696c57F7D7A678ff,UniswapV2RouterGuard,0xef18E8271aA2B9657F17D3Fdefa9734aae9897ee,Quickswap V2 router
0x0769fd68dFb93167989C6f7254cd0D766Fb2841F,SushiMiniChefV2Guard,0x340c299d9Bc1196933278886280de26907d231f1,Sushi rewards contract
0x357D51124f59836DeD84c8a1730D72B749d8BC23,AaveIncentivesControllerGuard,0xeE315011c5709360e5006835ECC033AebdD3F0da,Aave Incentives Controller contract
0x4A73218eF2e820987c59F838906A82455F42D98b,QuickStakingRewardsGuard,0x9DcfCf12E1D93A42C092008f70dC5C8Fd73C6460,Quick Staking Reward
0x11111112542D85B3EF69AE05771c2dCCff4fAa26,OneInchV3Guard,0xa389D040C0809b3069BA5b073469413152c2EBdF,OneInch V3 Router
0x0F3e0c4218b7b0108a3643cFe9D3ec0d4F57c54e,BalancerMerkleOrchardGuard,0xa71a1A922000BF91CACF835222C0E552A288A826,Balancer Merkle Orchard Guard
0xC3e6d2811f669094d94F7589CaEa69672D93408e,EasySwapperGuard,0xc7EfbD043CE45687d40baea35bCE775e31eF909E,Dhedge EasySwapper - allows access to toros pools
0x1111111254fb6c44bac0bed2854e76f90643097d,OneInchV4Guard,0x5D2A737a060dFba1Fd6F8E8CF49c087D7e9b1721,OneInch V4 Router
0x7F17f90D788362aFcFBA43E27B7939ce1c7a82a1,EasySwapperGuard,0xB1a6DF21fFcBfd3D2f5E11829505955D33841765,Dhedge EasySwapper - allows access to toros pools
0x00DCFe5b356540142d75765803C99407917d1172,EasySwapperGuard,0x843521470A709BbA523467B746666E3416a3F311,Dhedge EasySwapper - allows access to toros pools
0xEdF8C3aD1186d6ecB8b8cd08230b9434768252A5,ArrakisLiquidityGaugeV4Address,0x6e0949ED2c3Fb19b445ED946C8A317639AEFCF04,Arrakis Liquidity Gauge V4
0x9941c03d31bc8b3aa26e363f7dd908725e1a21bb,ArrakisLiquidityGaugeV4Address,0x6e0949ED2c3Fb19b445ED946C8A317639AEFCF04,Arrakis Liquidity Gauge V4
0x33d1ad9cd88a509397cd924c2d7613c285602c20,ArrakisLiquidityGaugeV4Address,0x6e0949ED2c3Fb19b445ED946C8A317639AEFCF04,Arrakis Liquidity Gauge V4
0xfb5b8515b011b073defb5fa63b05a7190a5207b3,ArrakisLiquidityGaugeV4Address,0x6e0949ED2c3Fb19b445ED946C8A317639AEFCF04,Arrakis Liquidity Gauge V4
0x50be234a8405c32c15712850377deec768628bc9,ArrakisLiquidityGaugeV4Address,0x6e0949ED2c3Fb19b445ED946C8A317639AEFCF04,Arrakis Liquidity Gauge V4
0xdb01724cd5885d76438d2b54097c9dd8dbf443a1,ArrakisLiquidityGaugeV4Address,0x6e0949ED2c3Fb19b445ED946C8A317639AEFCF04,Arrakis Liquidity Gauge V4
0x5E65A272fb0d594c7447F05928011C4F7f53c808,ArrakisLiquidityGaugeV4Address,0x6e0949ED2c3Fb19b445ED946C8A317639AEFCF04,Arrakis Liquidity Gauge V4
0x56c5b00bdeb3cb8adf745650599f9adef3c40275,ArrakisLiquidityGaugeV4Address,0x6e0949ED2c3Fb19b445ED946C8A317639AEFCF04,Arrakis Liquidity Gauge V4
0xbc91a120cCD8F80b819EAF32F0996daC3Fa76a6C,ArrakisV1RouterStakingGuard,0x87978E8a4ecB75Fc73E3D14405905eE8faFad241,Arrakis V1 Router Staking Guard
0x72843281394e68de5d55bcf7072bb9b2ebc24150,BalancerV2GaugeContractGuard,0x3705f5D51f488e052Aa21a19b66a15CC0c07412E,BalancerV2GaugeContractGuard
0x9928340f9E1aaAd7dF1D95E27bd9A5c715202a56,BalancerV2GaugeContractGuard,0x3705f5D51f488e052Aa21a19b66a15CC0c07412E,BalancerV2GaugeContractGuard
0x343e74465F9E7065C7c653e3C5789a5431053DF7,EasySwapperGuard,0xB1Ef0799b3EeA5fA72AE1b3474a9FbE5070991E7,Dhedge EasySwapper - allows access to toros pools
0xe23c118096Ab1DBaF7f37720A4E57Cc1AD8Ce48C,EasySwapperGuard,0x15B58f739D4e1dA0Bb3b0bE83b25098695Be1C8e,Dhedge EasySwapper - allows access to toros pools
0x48534d027f8962692122dB440714fFE88Ab1fA85,BalancerV2GaugeContractGuard,0x3705f5D51f488e052Aa21a19b66a15CC0c07412E,BalancerV2GaugeContractGuard
0xba46106a5fdb350372c17ba31bc0a6b71a148221,BalancerV2GaugeContractGuard,0x3705f5D51f488e052Aa21a19b66a15CC0c07412E,BalancerV2GaugeContractGuard
0x0F09F70Ed59202c77aC667f574A5f79bC65CeA48,BalancerV2GaugeContractGuard,0x3705f5D51f488e052Aa21a19b66a15CC0c07412E,BalancerV2GaugeContractGuard
0xdffe97094394680362ec9706a759eb9366d804c2,BalancerV2GaugeContractGuard,0x3705f5D51f488e052Aa21a19b66a15CC0c07412E,BalancerV2GaugeContractGuard
0x2aa6fb79efe19a3fce71c46ae48efc16372ed6dd,BalancerV2GaugeContractGuard,0x3705f5D51f488e052Aa21a19b66a15CC0c07412E,BalancerV2GaugeContractGuard
0xBA12222222228d8Ba445958a75a0704d566BF2C8,BalancerV2Guard,0x4d3833b7dbB2a780c12b409EC55A29133B64Eb94,Balancer V2 Guard
